Amount,Order Date,Category
4760,01-03-17,C
10395,01-03-17,D
10395,01-03-17,A
4165,02-03-17,D
2940,02-03-17,B
3290,02-03-17,A
2730,02-03-17,D
17850,03-03-17,C
4830,03-03-17,C
2093,03-03-17,B
11970,03-03-17,A
2093,03-03-17,C
6790,04-03-17,A
4165,04-03-17,C
3290,04-03-17,A
3290,04-03-17,D
6230,04-03-17,D
3115,05-03-17,B
0,05-03-17,B
2450,05-03-17,B
0,06-03-17,C
6230,06-03-17,B
3962,06-03-17,A
2450,06-03-17,B
0,06-03-17,C
6230,06-03-17,A
3115,06-03-17,A
3115,07-03-17,D
22680,07-03-17,A
2093,07-03-17,B
1862,07-03-17,C
0,07-03-17,A
4900,07-03-17,B
0,07-03-17,C
6230,08-03-17,D
0,08-03-17,D
8925,08-03-17,C
1862,08-03-17,B
0,08-03-17,C
3360,08-03-17,D
3115,08-03-17,D
0,08-03-17,D
2450,08-03-17,A
3850,09-03-17,C
8925,09-03-17,D
9345,09-03-17,B
4970,09-03-17,D
3150,09-03-17,B
10395,09-03-17,A
2100,10-03-17,D
3325,10-03-17,B
3150,10-03-17,A
3724,10-03-17,B
1862,10-03-17,C
4375,11-03-17,C
2660,11-03-17,C
1575,11-03-17,D
2100,11-03-17,D
4599,12-03-17,A
3276,12-03-17,C
0,12-03-17,D
0,13-03-17,B
4011,13-03-17,C
5460,13-03-17,C
2450,13-03-17,C
2730,13-03-17,C
4725,13-03-17,D
2450,14-03-17,C
0,14-03-17,A
0,14-03-17,B
0,14-03-17,B
9030,15-03-17,A
2450,15-03-17,A
2800,15-03-17,D
2800,15-03-17,B
1925,15-03-17,C
1890,15-03-17,D
9030,15-03-17,C
7448,16-03-17,B
7700,16-03-17,B
2800,16-03-17,B
1750,16-03-17,C
2093,16-03-17,C
6405,16-03-17,A
4725,16-03-17,B
7700,17-03-17,D
4893,17-03-17,B
2800,17-03-17,D
2793,17-03-17,D
5586,17-03-17,A
20650,17-03-17,B
3556,17-03-17,B
0,17-03-17,B
5495,18-03-17,C
5495,18-03-17,B
18795,18-03-17,A
0,18-03-17,A
3290,19-03-17,A
3493,19-03-17,B
8743,19-03-17,D
0,20-03-17,A
4634,20-03-17,A
1890,20-03-17,B
4900,20-03-17,A
0,20-03-17,D
5110,20-03-17,D
3500,21-03-17,D
19565,21-03-17,D
3850,21-03-17,C
0,21-03-17,C
8491,21-03-17,A
11165,21-03-17,C
0,21-03-17,B
3486,21-03-17,C
3276,22-03-17,D
6342,22-03-17,D
2450,22-03-17,B
0,22-03-17,B
4200,22-03-17,C
1743,22-03-17,A
8225,22-03-17,A
5600,22-03-17,A
0,22-03-17,D
0,23-03-17,A
3675,23-03-17,A
6300,23-03-17,A
8225,23-03-17,B
7560,23-03-17,A
0,23-03-17,D
5565,23-03-17,C
0,23-03-17,A
1890,23-03-17,B
3465,24-03-17,A
3535,24-03-17,B
658,24-03-17,C
3990,24-03-17,B
0,24-03-17,C
0,24-03-17,B
66920,25-03-17,B
9800,25-03-17,D
2275,25-03-17,B
6930,25-03-17,B
0,25-03-17,C
3290,25-03-17,B
2100,25-03-17,C
0,26-03-17,A
1890,26-03-17,B
4550,26-03-17,B
5460,26-03-17,A
10325,26-03-17,A
4200,27-03-17,B
1925,27-03-17,D
3143,27-03-17,B
3500,27-03-17,B
3290,27-03-17,C
2450,27-03-17,C
