country,date,fatalities,flight_model,location,operator
Italy,02-08-1919,14,Caproni Ca.48,Verona,Caproni
U.K.,11-08-1919,1,Felixstowe Fury,near Felixtowe RNAS,RAF
South Africa,23-02-1920,0,Handley Page O/7,Acadia Sidin...,Handley Page Transport
Sudan,25-02-1920,0,Handley Page O/400,near El Shereik,Handley Page Transport
Sweden,30-06-1920,0,Handley Page O/400,CstanC%,Handley Page Transport
U.K.,14-12-1920,4,Handley Page O/400,Golders Green,Handley Page Transport
Cuba,15-01-1921,0,Aeromarine 75,Havana harbour,Aeromarine Airways
India,02-03-1921,0,Handley Page O/7,Meerut,HP Indo-Burmese Transport
Italy,04-03-1921,0,Caproni Ca.60 Noviplano,Lago Maggiore,Caproni
France,26-08-1921,0,Farman F.60 Goliath,near Calais [The ...,SNETA
Belgium,27-09-1921,0,Farman F.60 Goliath,Evere Airfield,SNETA
Belgium,27-09-1921,0,Farman F.60 Goliath,Evere Airfield,SNETA
France,30-12-1921,,Handley Page O/10,Berck-sur-Mer,Handley Page Transport
France,14-01-1922,5,Handley Page O/10,near Paris-Le Bou...,Handley Page Transport
China,31-03-1922,14,"	Handley Page O/7",near Beijing-Nany...,Chinese Government
France,07-04-1922,5,Farman F.60 Goliath,Thieuloy-Sai...,Grands Express AC)riens
Atlantic Ocean,13-01-1923,4,Aeromarine 75,"near Havana, Cuba",Aeromarine Airways
France,14-05-1923,6,Farman F.60 Goliath,"Monsures, Somme",Air Union
France,25-06-1923,,Farman F.60 Goliath,near C	taples,Air Union
France,10-07-1923,0,Handley Page W.8,Poix,Handley Page Transport
France,15-07-1923,,Farman F.60 Goliath,near Valenciennes,Compagnie AC)rienne FranC'aise
U.K.,27-08-1923,1,Farman F.60 Goliath,East Malling...,Air Union
U.K.,03-12-1923,,Farman F.60 Goliath,"Littlestone,...",Air Union
Cuba,??-???-1923,0,Aeromarine 75,Havana harbour,Aeromarine Airways
U.K.,22-01-1924,,Farman F.60 Goliath,London-Croyd...,Air Union
U.K.,06-08-1924,0,Farman F.60 Goliath,Golden Green...,Air Union
Netherlands,24-08-1924,0,Farman F.61 Goliath,near Amsterdam-Sc...,SGTA
U.K.,16-10-1925,3,Farman F.60 Goliath,"Wadhurst, Ea...",Air Union
France,14-11-1925,0,Farman F.60 Goliath,near Boulogne [En...,Air Union
U.K.,18-08-1926,4,BlC)riot 155,"Hurst, near ...",Air Union
U.K.,02-10-1926,7,BlC)riot 155,"Leigh, Kent",Air Union
U.K.,21-10-1926,0,Handley Page W.10,English Channel,Imperial Airways
Germany,20-11-1926,,Junkers G.24,KC6nigsberg,Deutsche Lufthansa
Atlantic Ocean,05-05-1927,2,Farman F.61 Goliath,Atlantic Ocean,SGTA
U.K.,22-08-1927,1,Fokker F.VIII,"St. Julians,...",KLM
France,15-02-1928,0,Handley Page W.8b,near Abbeville,Imperial Airways
U.K.,11-03-1928,2,Farman F.60 Goliath,"near Folkestone, ...",Air Union
Netherlands,11-04-1928,0,Fokker F.VIII,Nigtevecht,KLM
Germany,19-04-1928,0,Junkers G.24,Spaichingen,Deutsche Lufthansa
USA,12-05-1928,2,Ford 4-AT-A Tri-Motor,"Dearborn, MI",Ford Air Freight Lines
Germany,23-05-1928,3,Farman F.63bis Goliath,near KC6ln-Butzwei...,SGTA
USA,25-08-1928,7,Ford 4-AT-B Tri-Motor,near Port Townsen...,British Columbia Airways
Germany,25-09-1928,0,Junkers G.31de,Arnsberg,Deutsche Lufthansa
USA,13-10-1928,0,Ford 4-AT-A Tri-Motor,"Detroit, MI",Stout Air Services
USA,23-11-1928,3,Ford 4-AT-B Tri-Motor,"near Spokane, WA",Spokane Airways
Germany,01-12-1928,3,Junkers G.31fi,Letzlingen,Deutsche Lufthansa
USA,01-12-1928,5,Ford 4-AT-C Tri-Motor,"near Spur, TX",Sunbeam Air Transport Co.
USA,22-12-1928,0,Ford 4-AT-A Tri-Motor,"Floresville, TX",Texaco
Germany,??-DEC-1928,,Junkers G.31ce,,Deutsche Lufthansa
USA,16-01-1929,0,Ford 4-AT-A Tri-Motor,"near Toledo, OH",Stout Air Services
France,??-FEB-1929,,Junkers G.24,"Epinais, Bre...",Deutsche Lufthansa
USA,17-03-1929,14,Ford 4-AT-B Tri-Motor,near Newark Airpo...,Colonial Western Airlines
USA,19-03-1929,4,Ford 5-AT-B Tri-Motor,"Dearborn, MI",Ford Motor Company
Italy,12-04-1929,0,Dornier Do R4 Superwal,Napoli,SANA
USA,21-04-1929,5+ 1,Ford 5-AT-B Tri-Motor,near San Diego Ai...,Maddux Airlines
U.K.,16-05-1929,2,Vickers 170 Vanguard,Shepperton,Vickers-Armstrongs
U.K.,19-05-1929,0,Farman F.63bis Goliath,Paddock Wood...,Air Union
USA,02-06-1929,0,Fokker F.10A,"Wichita, KS",Western Air Express
Cuba,13-06-1929,2,Fokker F.10A,Santiago Air...,Pan Am
U.K.,17-06-1929,7,Handley Page W.10,near Dungeness,Imperial Airways
